#separator:tab
#html:false
#notetype:Cloze
#deck:AZ-900
#columns:Text	Extra	Tags
#tags column:3
Cloud computing is the delivery of computing services (compute, storage, databases, networking, software) over {{c1::the internet}}.	Based on Microsoft AZ-900 skills outline (Jan 14, 2026).	az900 cloud-concepts
{{c1::Azure Kubernetes Service (AKS)}} is Azure's managed Kubernetes for orchestrating containers at scale.		az900 architecture compute
{{c1::Azure App Service}} is a PaaS offering for hosting web apps, REST APIs, and mobile backends.		az900 architecture compute
An {{c1::Azure Virtual Network (VNet)}} is the fundamental building block for private networking in Azure; an isolated network in the cloud.		az900 architecture networking
{{c1::VNet peering}} connects two Azure virtual networks so resources can communicate over the Microsoft backbone.		az900 architecture networking
{{c1::Azure DNS}} is a hosting service for DNS domains using Microsoft's name servers.		az900 architecture networking
{{c1::Azure VPN Gateway}} sends encrypted traffic between an Azure VNet and an on-premises location over the public internet.		az900 architecture networking
{{c1::Azure ExpressRoute}} extends on-premises networks into Azure over a private, dedicated connection — it does NOT traverse the public internet.		az900 architecture networking
A {{c1::public endpoint}} is accessible over the public internet via a public IP; a {{c2::private endpoint}} is a network interface with a private IP from your VNet, connecting privately to an Azure service via Private Link.		az900 architecture networking
{{c1::Azure Blob Storage}} is object storage for unstructured data such as files, images, video, and backups.		az900 architecture storage
{{c1::Azure Files}} provides managed file shares accessible via the SMB and NFS protocols.		az900 architecture storage
{{c1::Azure Queue Storage}} is a service for storing large numbers of messages for asynchronous workloads.		az900 architecture storage
{{c1::Azure Table Storage}} is a NoSQL key-value store for structured, non-relational data.		az900 architecture storage
{{c1::Azure Disk Storage}} provides block-level storage volumes attached to Azure VMs.		az900 architecture storage
Blob access tiers (hot-to-cold): {{c1::Hot, Cool, Cold, Archive}}; Hot has highest storage cost / lowest access cost, Archive is opposite.		az900 architecture storage
{{c1::LRS}} (Locally Redundant Storage) keeps three copies of data within a single datacenter.		az900 architecture storage redundancy
{{c1::ZRS}} (Zone-Redundant Storage) replicates data synchronously across three availability zones in one region.		az900 architecture storage redundancy
{{c1::GRS}} (Geo-Redundant Storage) is LRS in the primary region plus asynchronous replication to the paired region.		az900 architecture storage redundancy
{{c1::GZRS}} (Geo-Zone-Redundant Storage) is ZRS in the primary region plus LRS copy in the paired region.		az900 architecture storage redundancy
{{c1::AzCopy}} is a command-line tool for copying data to and from Azure Storage.		az900 architecture storage tools
{{c1::Azure Storage Explorer}} is a standalone GUI application for managing Azure storage across Windows, macOS, and Linux.		az900 architecture storage tools
{{c1::Azure File Sync}} centralizes file shares in Azure Files while keeping local performance via Windows Server caches.		az900 architecture storage tools
{{c1::Azure Migrate}} is a hub for discovering, assessing, and migrating on-premises servers, databases, apps, and data to Azure.		az900 architecture migration
{{c1::Azure Data Box}} is a physical appliance for offline bulk data transfer to Azure, used when network transfer is impractical.		az900 architecture migration
{{c1::Microsoft Entra ID}} (formerly Azure AD) is Microsoft's cloud-based identity and access management service.		az900 architecture identity
{{c1::Microsoft Entra Domain Services}} provides managed domain services like domain join, group policy, LDAP, and Kerberos/NTLM without requiring you to manage domain controllers.		az900 architecture identity
{{c1::Single sign-on (SSO)}} lets users authenticate once and access multiple applications without re-entering credentials.		az900 architecture identity
{{c1::Multifactor authentication (MFA)}} requires two or more factors: something you {{c2::know, have, or are}}.		az900 architecture identity
Passwordless authentication methods include {{c1::Windows Hello, FIDO2 security keys, and the Microsoft Authenticator app}}.		az900 architecture identity
External identities in Entra ID include {{c1::B2B collaboration (invite guest users) and B2C (customer-facing identity)}}.	Entra External ID is the modern umbrella term.	az900 architecture identity
{{c1::Microsoft Entra Conditional Access}} is an if-then policy engine that enforces access requirements based on signals like user, device, location, and risk.		az900 architecture identity
{{c1::Azure RBAC}} (Role-Based Access Control) grants access via role assignments combining a security principal, a role definition, and a scope.		az900 architecture identity
The {{c1::Zero Trust}} model is summarized as "never trust, always verify": verify explicitly, use least-privilege access, and assume breach.		az900 architecture security
{{c1::Defense in depth}} uses layered security controls so no single point of failure compromises the system.	Microsoft's layers: physical, identity & access, perimeter, network, compute, application, data.	az900 architecture security
{{c1::Microsoft Defender for Cloud}} is a cloud-native platform for security posture management (CSPM) and workload protection (CWPP) across Azure, hybrid, and multicloud.		az900 architecture security
Factors that can affect Azure costs include {{c1::resource type, consumption, region, and billing zone for bandwidth}}.		az900 management cost
The {{c1::Azure Pricing Calculator}} estimates the cost of Azure resources BEFORE you deploy them.		az900 management cost
The {{c1::Azure TCO Calculator}} estimates savings from migrating on-premises workloads to Azure.	Not explicitly in the Jan 14 2026 outline but commonly tested.	az900 management cost
{{c1::Microsoft Cost Management}} (in the Azure portal) lets you view, analyze, budget, and optimize spend after resources are deployed.		az900 management cost
{{c1::Tags}} are name/value pairs applied to resources for organization, automation, and cost allocation; they are NOT inherited from resource groups by default.		az900 management cost
{{c1::Microsoft Purview}} is a unified data governance and compliance solution (catalog, lineage, data risk, compliance).		az900 management governance
{{c1::Azure Policy}} enforces organizational rules by evaluating resources for compliance against defined policy definitions.		az900 management governance
{{c1::Resource locks}} prevent accidental modification or deletion of resources; the two lock types are {{c2::ReadOnly and CanNotDelete (Delete)}}.		az900 management governance
The {{c1::Azure portal}} is the web-based graphical interface for managing Azure resources.		az900 management tools
{{c1::Azure Cloud Shell}} is a browser-based shell with Azure CLI (Bash) and Azure PowerShell preinstalled and authenticated.		az900 management tools
{{c1::Azure CLI}} is a cross-platform command-line tool using commands like `az vm create`.		az900 management tools
{{c1::Azure PowerShell}} is a cross-platform PowerShell module with cmdlets like `New-AzVM`.		az900 management tools
{{c1::Azure Arc}} extends Azure management and governance to resources running outside Azure — on-premises, in other clouds, and at the edge.		az900 management tools
{{c1::Infrastructure as Code (IaC)}} is the practice of managing and provisioning infrastructure through declarative configuration files rather than manual processes.		az900 management tools
{{c1::Azure Resource Manager (ARM)}} is the deployment and management service for Azure; it's the single control plane for all resource operations.		az900 management tools
{{c1::ARM templates}} are JSON files that declaratively define Azure infrastructure for repeatable deployment. {{c2::Bicep}} is a DSL that compiles to ARM JSON.		az900 management tools
{{c1::Azure Advisor}} provides personalized recommendations across five pillars: cost, security, reliability, operational excellence, and performance.		az900 management monitoring
{{c1::Azure Service Health}} provides personalized alerts about service issues, planned maintenance, and health advisories affecting YOUR resources.		az900 management monitoring
Azure {{c1::Status}} is a global page of current Azure outages; Azure {{c2::Service Health}} is personalized to the resources in your subscriptions.		az900 management monitoring
{{c1::Azure Monitor}} is the comprehensive platform for collecting, analyzing, and acting on telemetry (metrics and logs) from Azure and other environments.		az900 management monitoring
{{c1::Log Analytics}} is the tool within Azure Monitor used to write and run {{c2::KQL (Kusto Query Language)}} queries against log data.		az900 management monitoring
{{c1::Azure Monitor alerts}} proactively notify you when configured conditions on monitored data are met.		az900 management monitoring
{{c1::Application Insights}} is an APM feature of Azure Monitor for monitoring live web applications — tracking requests, dependencies, exceptions, and performance.		az900 management monitoring
The three functional areas of the AZ-900 exam are: Describe cloud concepts ({{c1::25–30%}}), Describe Azure architecture and services ({{c2::35–40%}}), and Describe Azure management and governance ({{c3::30–35%}}).		az900 meta
The passing score on the AZ-900 exam is {{c1::700}} (on a scale up to 1000), with {{c2::45}} minutes to complete it.		az900 meta
To apply governance (access, policy, compliance) across MANY subscriptions at once, use {{c1::management groups}} — NOT resource groups (which only organize resources within a single subscription).	Common AZ-900 trap: management groups vs resource groups. Resource groups are a logical container for resources sharing a lifecycle; management groups sit ABOVE subscriptions.	az900 architecture core-components disambiguation
{{c1::Azure Reservations}} let you commit to 1- or 3-year terms for predictable workloads (VMs, SQL, etc.) in exchange for up to {{c2::72%}} discount vs pay-as-you-go.	Best fit when resource usage is consistent year-round. Not the same as Azure Monitor alerts (which only notify) or spending limits (which suspend subscriptions).	az900 management cost reservations
Specific factors that affect Azure cost: {{c1::resource type, usage/consumption, resource location (region), and outbound data transfers (egress) — billed by type and destination zone}}. The number of resource groups in a subscription does {{c2::NOT}} affect cost.	Inbound data is typically free; outbound (egress) is the billed direction.	az900 management cost
{{c1::Azure Policy}} is what restricts which resource SKUs/sizes/types can be created (e.g., "only allow VMs of size Standard_D2s_v3"); it evaluates resources for compliance and can BLOCK noncompliant deployments. {{c2::Resource locks}} only prevent deletion/modification of EXISTING resources — they do not constrain what can be created.	Common AZ-900 trap: governance-rule enforcement is Policy; accidental-delete protection is Locks.	az900 management governance disambiguation
Things you CAN do in the Azure portal: {{c1::create new resources, configure existing resources, create Microsoft Entra users, view billing/reports, deploy ARM templates}}. RBAC role assignments grant permissions, but Azure does NOT support explicit {{c2::deny}} assignments via standard role assignments (deny assignments exist only via Azure Blueprints/managed apps).	Trap: "assign deny permission on a resource group" looks plausible but is not a standard portal action.	az900 management tools portal
After an Azure service outage, the {{c1::Root Cause Analysis (RCA)}} report is published in {{c2::Azure Service Health}} (NOT Log Analytics, NOT Azure Monitor). Service Health provides official incident reports you can share with stakeholders.	Log Analytics is for KQL queries on YOUR telemetry data; RCAs are Microsoft-authored post-incident reports about Azure itself.	az900 management monitoring service-health
